Name,Unit,Expression,Value,Comment,Favorite
iphone16_height,mm,147.6,14.76,iPhone 16 body height. Apple 2024 spec.,True
iphone16_width,mm,71.6,7.16,iPhone 16 body width. Apple 2024 spec.,True
iphone16_depth,mm,7.80,0.78,iPhone 16 body depth/thickness. Apple 2024 spec.,True
iphone16pro_height,mm,149.6,14.96,iPhone 16 Pro body height. Apple 2024 spec.,True
iphone16pro_width,mm,71.5,7.15,iPhone 16 Pro body width. Apple 2024 spec.,True
iphone16pro_depth,mm,8.25,0.8250000000000001,iPhone 16 Pro body depth. Apple 2024 spec.,True
iphone16promax_height,mm,163.0,16.3,iPhone 16 Pro Max body height. Apple 2024 spec.,True
iphone16promax_width,mm,77.6,7.76,iPhone 16 Pro Max body width. Apple 2024 spec.,True
iphone16promax_depth,mm,8.25,0.8250000000000001,iPhone 16 Pro Max body depth. Apple 2024 spec.,True
iphone15_height,mm,147.6,14.76,iPhone 15 body height. Apple 2023 spec.,True
iphone15_width,mm,71.6,7.16,iPhone 15 body width. Apple 2023 spec.,True
iphone15_depth,mm,7.80,0.78,iPhone 15 body depth. Apple 2023 spec.,True
iphone15pro_height,mm,146.6,14.66,iPhone 15 Pro body height. Apple 2023 spec.,True
iphone15pro_width,mm,70.6,7.06,iPhone 15 Pro body width. Apple 2023 spec.,True
iphone15pro_depth,mm,8.25,0.8250000000000001,iPhone 15 Pro body depth. Apple 2023 spec.,True
iphone15promax_height,mm,159.9,15.990000000000002,iPhone 15 Pro Max body height. Apple 2023 spec.,True
iphone15promax_width,mm,76.7,7.670000000000001,iPhone 15 Pro Max body width. Apple 2023 spec.,True
iphone15promax_depth,mm,8.25,0.8250000000000001,iPhone 15 Pro Max body depth. Apple 2023 spec.,True
galaxys24_height,mm,147.0,14.700000000000001,Samsung Galaxy S24 body height. Samsung 2024 spec.,True
galaxys24_width,mm,70.6,7.06,Samsung Galaxy S24 body width. Samsung 2024 spec.,True
galaxys24_depth,mm,7.60,0.76,Samsung Galaxy S24 body depth. Samsung 2024 spec.,True
galaxys24plus_height,mm,158.5,15.850000000000001,Samsung Galaxy S24+ body height. Samsung 2024 spec.,True
galaxys24plus_width,mm,75.9,7.590000000000001,Samsung Galaxy S24+ body width. Samsung 2024 spec.,True
galaxys24plus_depth,mm,7.70,0.77,Samsung Galaxy S24+ body depth. Samsung 2024 spec.,True
galaxys24ultra_height,mm,162.3,16.23,Samsung Galaxy S24 Ultra body height. Samsung 2024 spec.,True
galaxys24ultra_width,mm,79.0,7.9,Samsung Galaxy S24 Ultra body width. Samsung 2024 spec.,True
galaxys24ultra_depth,mm,8.60,0.86,Samsung Galaxy S24 Ultra body depth. Samsung 2024 spec.,True
ipadair11_height,mm,247.6,24.76,iPad Air 11-inch (M2) body height. Apple 2024 spec.,True
ipadair11_width,mm,178.5,17.85,iPad Air 11-inch (M2) body width. Apple 2024 spec.,True
ipadair11_depth,mm,6.1,0.61,iPad Air 11-inch (M2) body depth. Apple 2024 spec.,True
ipadpro11_height,mm,249.7,24.97,iPad Pro 11-inch (M4) body height. Apple 2024 spec.,True
ipadpro11_width,mm,177.5,17.75,iPad Pro 11-inch (M4) body width. Apple 2024 spec.,True
ipadpro11_depth,mm,5.3,0.53,iPad Pro 11-inch (M4) body depth. Apple 2024 spec.,True
ipadpro13_height,mm,281.6,28.160000000000004,iPad Pro 13-inch (M4) body height. Apple 2024 spec.,True
ipadpro13_width,mm,215.5,21.55,iPad Pro 13-inch (M4) body width. Apple 2024 spec.,True
ipadpro13_depth,mm,5.1,0.51,iPad Pro 13-inch (M4) body depth. Apple 2024 spec.,True
ipadmini7_height,mm,195.4,19.540000000000003,iPad Mini 7th gen body height. Apple 2024 spec.,True
ipadmini7_width,mm,134.8,13.480000000000002,iPad Mini 7th gen body width. Apple 2024 spec.,True
ipadmini7_depth,mm,6.3,0.63,iPad Mini 7th gen body depth � thickest current iPad. Apple 2024 spec.,True
magsafe15w_dia,mm,56.0,5.6000000000000005,Apple MagSafe 15W charger puck diameter. Apple spec.,True
magsafe15w_thick,mm,6.0,0.6000000000000001,Apple MagSafe 15W charger puck thickness. Apple spec.,True
magsafe25w_dia,mm,55.5,5.550000000000001,Apple MagSafe 25W charger puck diameter. Apple spec.,True
magsafe25w_thick,mm,4.5,0.45,Apple MagSafe 25W charger puck thickness. Apple spec.,True
applewatch_charger_dia,mm,27.6,2.7600000000000002,Apple Watch magnetic charger puck diameter. Apple spec.,True
