Name,Unit,Expression,Value,Comment,Favorite
rpi4_mount_pitch_x,mm,58.00,5.800000000000001,Raspberry Pi 4 / Pi 5 mounting hole pitch — X axis (long side).,True
rpi4_mount_pitch_y,mm,49.00,4.9,Raspberry Pi 4 / Pi 5 mounting hole pitch — Y axis.,True
rpi_board_width,mm,56.00,5.6000000000000005,Raspberry Pi PCB width.,True
rpi_board_length,mm,85.00,8.5,Raspberry Pi PCB length.,True
octopus_mount_pitch_x,mm,109.00,10.9,BTT Octopus / Octopus Pro board mounting hole pitch — X.,True
octopus_mount_pitch_y,mm,81.50,8.15,BTT Octopus board mounting hole pitch — Y.,True
skr_mini_mount_pitch_x,mm,85.00,8.5,BTT SKR Mini E3 V3 mounting hole pitch — X. BabyBelt Pro mainboard.,True
skr_mini_mount_pitch_y,mm,55.00,5.5,BTT SKR Mini E3 V3 mounting hole pitch — Y.,True
pcb_edge_clearance,mm,2.00,0.2,Minimum clearance from PCB edge to enclosure wall — allows for component overhang and manufacturing tolerance.,True
din_rail_width,mm,35.00,3.5,TS35 top-hat DIN rail width (EN 60715; supersedes withdrawn EN 50022). Used for clip geometry in electrical panel and control box designs.,True
din_rail_clip_depth,mm,5.00,0.5,Typical DIN rail clip engagement depth for reliable snap-on retention.,True
jst_xh_2pin_width,mm,6.00,0.6000000000000001,JST-XH 2-pin connector body width. 2.54 mm pitch. Used for cutout and slot sizing in terminal blocks.,True
jst_xh_height,mm,7.00,0.7000000000000001,JST-XH connector body height.,True
usb_a_panel_width,mm,14.00,1.4000000000000001,Standard USB-A panel cutout width.,True
usb_a_panel_height,mm,7.00,0.7000000000000001,Standard USB-A panel cutout height.,True
usb_c_panel_width,mm,10.00,1.0,Standard USB-C panel cutout width.,True
usb_c_panel_height,mm,4.50,0.45,Standard USB-C panel cutout height.,True
xt30_panel_dia,mm,10.50,1.05,XT30 connector panel cutout hole diameter. Used on 48V toolhead and Doomcube power distribution.,True
xt60_panel_dia,mm,12.00,1.2000000000000002,XT60 connector panel cutout hole diameter.,True
wago221_body_width_2way,mm,11.00,1.1,WAGO 221-412 (2-conductor) lever nut body width. For printed mounting clips and wire management blocks.,True
wago221_body_height,mm,16.00,1.6,WAGO 221 lever nut body height.,True
wago221_body_depth,mm,14.00,1.4000000000000001,WAGO 221 lever nut body depth.,True
esp32_board_width,mm,28.00,2.8000000000000003,ESP32 DevKit V1 PCB width. Common ESPHome BLE proxy board.,True
esp32_board_length,mm,52.00,5.2,ESP32 DevKit V1 PCB length.,True
d1mini_board_width,mm,25.60,2.5600000000000005,Wemos D1 Mini board width.,True
