Name,Unit,Expression,Value,Comment,Favorite
drill_1_64,mm,0.397,0.039700000000000006,"1/64"" drill bit = 0.397 mm exactly. Nearest stocked metric: 0.4 mm. Smallest common fractional bit. Pilot for #0-#1 screws, fine detail work.",True
drill_1_32,mm,0.794,0.07940000000000001,"1/32"" drill bit = 0.794 mm exactly. Nearest stocked metric: 0.8 mm. Pilot for #1-#2 screws in softwood.",True
drill_3_64,mm,1.191,0.11910000000000001,"3/64"" drill bit = 1.191 mm exactly. Nearest stocked metric: 1.2 mm. Pilot for #2-#3 screws in hardwood.",True
drill_1_16,mm,1.587,0.1587,"1/16"" drill bit = 1.587 mm exactly. Nearest stocked metric: 1.6 mm. Pilot for #2-#3 screws in softwood; #3-#4 in hardwood. Common starter size.",True
drill_5_64,mm,1.984,0.19840000000000002,"5/64"" drill bit = 1.984 mm exactly. Nearest stocked metric: 2.0 mm. Pilot for #4 screws in hardwood; #5 in softwood.",True
drill_3_32,mm,2.381,0.23810000000000003,"3/32"" drill bit = 2.381 mm exactly. Nearest stocked metric: 2.4 mm. Pilot for #4-#5 in softwood; #6 in hardwood. Very common size.",True
drill_7_64,mm,2.778,0.2778,"7/64"" drill bit = 2.778 mm exactly. Nearest stocked metric: 2.8 mm. Pilot for #6 in softwood; #8 in hardwood. Extremely common.",True
drill_1_8,mm,3.175,0.3175,"1/8"" drill bit = 3.175 mm exactly. Nearest stocked metric: 3.2 mm. Pilot for #8 in softwood; #10 in hardwood. Most-used general pilot bit.",True
drill_9_64,mm,3.572,0.3572,"9/64"" drill bit = 3.572 mm exactly. Nearest stocked metric: 3.6 mm. Pilot for #10 in hardwood; clearance for #6.",True
drill_5_32,mm,3.969,0.39690000000000003,"5/32"" drill bit = 3.969 mm exactly. Nearest stocked metric: 4.0 mm. Clearance for #8; pilot for #10-#12 in softwood.",True
drill_11_64,mm,4.366,0.4366,"11/64"" drill bit = 4.366 mm exactly. Nearest stocked metric: 4.4 mm. Pilot for #12 in hardwood.",True
drill_3_16,mm,4.762,0.47620000000000007,"3/16"" drill bit = 4.762 mm exactly. Nearest stocked metric: 4.8 mm. Clearance for #10; pilot for #14 in softwood; M4 clearance equivalent.",True
drill_13_64,mm,5.159,0.5159,"13/64"" drill bit = 5.159 mm exactly. Nearest stocked metric: 5.2 mm. Pilot for #14 in hardwood; lag bolt pilot (1/4in) in softwood.",True
drill_7_32,mm,5.556,0.5556,"7/32"" drill bit = 5.556 mm exactly. Nearest stocked metric: 5.6 mm. Clearance for #12; pilot for 1/4in lag bolt.",True
drill_15_64,mm,5.953,0.5953,"15/64"" drill bit = 5.953 mm exactly. Nearest stocked metric: 6.0 mm. Pilot for 1/4in lag bolt in hardwood.",True
drill_1_4,mm,6.35,0.635,"1/4"" drill bit = 6.35 mm exactly. Nearest stocked metric: 6.3 mm. Clearance for #14; pilot for 5/16in lag bolt. Dowel/rod reference.",True
drill_17_64,mm,6.747,0.6747000000000001,"17/64"" drill bit = 6.747 mm exactly. Nearest stocked metric: 6.7 mm. Standard fractional drill bit 17/64 inch.",True
drill_9_32,mm,7.144,0.7144,"9/32"" drill bit = 7.144 mm exactly. Nearest stocked metric: 7.1 mm. Pilot for 5/16in lag bolt; clearance for #16.",True
drill_19_64,mm,7.541,0.7541000000000001,"19/64"" drill bit = 7.541 mm exactly. Nearest stocked metric: 7.5 mm. Standard fractional drill bit 19/64 inch.",True
drill_5_16,mm,7.938,0.7938000000000001,"5/16"" drill bit = 7.938 mm exactly. Nearest stocked metric: 7.9 mm. Clearance for 1/4in bolts; pilot for 3/8in lag bolt.",True
drill_21_64,mm,8.334,0.8334,"21/64"" drill bit = 8.334 mm exactly. Nearest stocked metric: 8.3 mm. Standard fractional drill bit 21/64 inch.",True
drill_11_32,mm,8.731,0.8731,"11/32"" drill bit = 8.731 mm exactly. Nearest stocked metric: 8.7 mm. Standard fractional drill bit 11/32 inch.",True
drill_23_64,mm,9.128,0.9128000000000001,"23/64"" drill bit = 9.128 mm exactly. Nearest stocked metric: 9.1 mm. Standard fractional drill bit 23/64 inch.",True
drill_3_8,mm,9.525,0.9525000000000001,"3/8"" drill bit = 9.525 mm exactly. Nearest stocked metric: 9.5 mm. Clearance for 5/16in bolts; large anchor pilot holes.",True
drill_25_64,mm,9.922,0.9922000000000001,"25/64"" drill bit = 9.922 mm exactly. Nearest stocked metric: 9.9 mm. Standard fractional drill bit 25/64 inch.",True
drill_13_32,mm,10.319,1.0319,"13/32"" drill bit = 10.319 mm exactly. Nearest stocked metric: 10.3 mm. Standard fractional drill bit 13/32 inch.",True
drill_27_64,mm,10.716,1.0715999999999999,"27/64"" drill bit = 10.716 mm exactly. Nearest stocked metric: 10.7 mm. Standard fractional drill bit 27/64 inch.",True
drill_7_16,mm,11.112,1.1112,"7/16"" drill bit = 11.112 mm exactly. Nearest stocked metric: 11.1 mm. Clearance for 3/8in bolts.",True
drill_29_64,mm,11.509,1.1509,"29/64"" drill bit = 11.509 mm exactly. Nearest stocked metric: 11.5 mm. Standard fractional drill bit 29/64 inch.",True
drill_15_32,mm,11.906,1.1906,"15/32"" drill bit = 11.906 mm exactly. Nearest stocked metric: 11.9 mm. Standard fractional drill bit 15/32 inch.",True
drill_31_64,mm,12.303,1.2303000000000002,"31/64"" drill bit = 12.303 mm exactly. Nearest stocked metric: 12.3 mm. Standard fractional drill bit 31/64 inch.",True
drill_1_2,mm,12.7,1.27,"1/2"" drill bit = 12.7 mm exactly. Nearest stocked metric: 12.7 mm. Clearance for 7/16in bolts; lock/hinge mortise reference.",True
drill_33_64,mm,13.097,1.3097,"33/64"" drill bit = 13.097 mm exactly. Nearest stocked metric: 13.1 mm. Standard fractional drill bit 33/64 inch.",True
drill_17_32,mm,13.494,1.3494000000000002,"17/32"" drill bit = 13.494 mm exactly. Nearest stocked metric: 13.5 mm. Standard fractional drill bit 17/32 inch.",True
drill_35_64,mm,13.891,1.3891,"35/64"" drill bit = 13.891 mm exactly. Nearest stocked metric: 13.9 mm. Standard fractional drill bit 35/64 inch.",True
drill_9_16,mm,14.287,1.4287,"9/16"" drill bit = 14.287 mm exactly. Nearest stocked metric: 14.3 mm. Clearance for 1/2in bolts.",True
drill_37_64,mm,14.684,1.4684,"37/64"" drill bit = 14.684 mm exactly. Nearest stocked metric: 14.7 mm. Standard fractional drill bit 37/64 inch.",True
drill_19_32,mm,15.081,1.5081,"19/32"" drill bit = 15.081 mm exactly. Nearest stocked metric: 15.1 mm. Standard fractional drill bit 19/32 inch.",True
drill_39_64,mm,15.478,1.5478,"39/64"" drill bit = 15.478 mm exactly. Nearest stocked metric: 15.5 mm. Standard fractional drill bit 39/64 inch.",True
drill_5_8,mm,15.875,1.5875000000000001,"5/8"" drill bit = 15.875 mm exactly. Nearest stocked metric: 15.9 mm. Large anchor and clearance work.",True
drill_41_64,mm,16.272,1.6272,"41/64"" drill bit = 16.272 mm exactly. Nearest stocked metric: 16.3 mm. Standard fractional drill bit 41/64 inch.",True
drill_21_32,mm,16.669,1.6669,"21/32"" drill bit = 16.669 mm exactly. Nearest stocked metric: 16.7 mm. Standard fractional drill bit 21/32 inch.",True
drill_43_64,mm,17.066,1.7066,"43/64"" drill bit = 17.066 mm exactly. Nearest stocked metric: 17.1 mm. Standard fractional drill bit 43/64 inch.",True
drill_11_16,mm,17.462,1.7462,"11/16"" drill bit = 17.462 mm exactly. Nearest stocked metric: 17.5 mm. Clearance for 5/8in bolts.",True
drill_45_64,mm,17.859,1.7859000000000003,"45/64"" drill bit = 17.859 mm exactly. Nearest stocked metric: 17.9 mm. Standard fractional drill bit 45/64 inch.",True
drill_23_32,mm,18.256,1.8256000000000001,"23/32"" drill bit = 18.256 mm exactly. Nearest stocked metric: 18.3 mm. Standard fractional drill bit 23/32 inch.",True
drill_47_64,mm,18.653,1.8653,"47/64"" drill bit = 18.653 mm exactly. Nearest stocked metric: 18.7 mm. Standard fractional drill bit 47/64 inch.",True
drill_3_4,mm,19.05,1.9050000000000002,"3/4"" drill bit = 19.05 mm exactly. Nearest stocked metric: 19.0 mm. Large clearance and boring work; common Forstner reference.",True
drill_49_64,mm,19.447,1.9447,"49/64"" drill bit = 19.447 mm exactly. Nearest stocked metric: 19.4 mm. Standard fractional drill bit 49/64 inch.",True
drill_25_32,mm,19.844,1.9844000000000002,"25/32"" drill bit = 19.844 mm exactly. Nearest stocked metric: 19.8 mm. Standard fractional drill bit 25/32 inch.",True
drill_51_64,mm,20.241,2.0241000000000002,"51/64"" drill bit = 20.241 mm exactly. Nearest stocked metric: 20.2 mm. Standard fractional drill bit 51/64 inch.",True
drill_13_16,mm,20.637,2.0637000000000003,"13/16"" drill bit = 20.637 mm exactly. Nearest stocked metric: 20.6 mm. Standard fractional drill bit 13/16 inch.",True
drill_53_64,mm,21.034,2.1034,"53/64"" drill bit = 21.034 mm exactly. Nearest stocked metric: 21.0 mm. Standard fractional drill bit 53/64 inch.",True
drill_27_32,mm,21.431,2.1431,"27/32"" drill bit = 21.431 mm exactly. Nearest stocked metric: 21.4 mm. Standard fractional drill bit 27/32 inch.",True
drill_55_64,mm,21.828,2.1828,"55/64"" drill bit = 21.828 mm exactly. Nearest stocked metric: 21.8 mm. Standard fractional drill bit 55/64 inch.",True
drill_7_8,mm,22.225,2.2225,"7/8"" drill bit = 22.225 mm exactly. Nearest stocked metric: 22.2 mm. Large boring; clearance for 3/4in bolts.",True
drill_57_64,mm,22.622,2.2622,"57/64"" drill bit = 22.622 mm exactly. Nearest stocked metric: 22.6 mm. Standard fractional drill bit 57/64 inch.",True
drill_29_32,mm,23.019,2.3019,"29/32"" drill bit = 23.019 mm exactly. Nearest stocked metric: 23.0 mm. Standard fractional drill bit 29/32 inch.",True
drill_59_64,mm,23.416,2.3416,"59/64"" drill bit = 23.416 mm exactly. Nearest stocked metric: 23.4 mm. Standard fractional drill bit 59/64 inch.",True
drill_15_16,mm,23.812,2.3812,"15/16"" drill bit = 23.812 mm exactly. Nearest stocked metric: 23.8 mm. Standard fractional drill bit 15/16 inch.",True
drill_61_64,mm,24.209,2.4209,"61/64"" drill bit = 24.209 mm exactly. Nearest stocked metric: 24.2 mm. Standard fractional drill bit 61/64 inch.",True
drill_31_32,mm,24.606,2.4606000000000003,"31/32"" drill bit = 24.606 mm exactly. Nearest stocked metric: 24.6 mm. Standard fractional drill bit 31/32 inch.",True
drill_63_64,mm,25.003,2.5003,"63/64"" drill bit = 25.003 mm exactly. Nearest stocked metric: 25.0 mm. Standard fractional drill bit 63/64 inch.",True
drill_1,mm,25.4,2.54,"1/1"" drill bit = 25.4 mm exactly. Nearest stocked metric: 25.4 mm. Full 1 inch — large boring, lock cylinders, pipe holes.",True
