old_name,new_name
printer_accuracy_hole_shrink_compensation,fdm_hole_shrink
printer_accuracy_outer_dimension_oversize,fdm_outer_oversize
printer_accuracy_standard_layer_height,fdm_layer_height
printer_accuracy_first_layer_height,fdm_first_layer_height
printer_accuracy_extrusion_line_width,fdm_line_width
printer_accuracy_elephant_foot_compensation,fdm_elephant_foot
printer_accuracy_seam_zseam_protrusion,fdm_seam_protrusion
printer_accuracy_minimum_infill_bridging_width,fdm_min_infill_width
printer_accuracy_solid_top_layers_for_mating_surface,fdm_solid_top_layers
tolerance_standard_fine_iso2768_f,tol_fine
tolerance_standard_medium_iso2768_m,tol_medium
tolerance_standard_coarse_iso2768_c,tol_coarse
tolerance_angular_general_degrees,tol_angular
tolerance_fit_class_fdm_sliding_per_surface,fdm_sliding_fit
tolerance_fit_class_fdm_press_per_surface,fdm_press_fit
tolerance_fit_class_fdm_interference_per_surface,fdm_interference_fit
tolerance_fit_class_iso_h7_g6_running_clearance,tol_h7g6_running
hole_geometry_minimum_printable_diameter,fdm_min_hole_dia
hole_geometry_horizontal_teardrop_z_offset,fdm_teardrop_offset
hole_geometry_fdm_diameter_compensation,fdm_hole_compensation
hole_geometry_self_tap_m3_into_plastic_diameter,m3_selftap_hole
hole_geometry_self_tap_m4_into_plastic_diameter,m4_selftap_hole
hole_geometry_thread_engagement_minimum_length,fdm_thread_engage_min
hole_geometry_m2_screw_clearance_diameter,m2_thru_hole
hole_geometry_m2_close_fit_diameter,m2_close_fit_hole
boss_geometry_m2_outer_diameter,m2_boss_od
hole_geometry_m2p5_screw_clearance_diameter,m2p5_thru_hole
hole_geometry_m2p5_close_fit_diameter,m2p5_close_fit_hole
boss_geometry_m2p5_outer_diameter,m2p5_boss_od
hole_geometry_m3_screw_clearance_diameter,m3_thru_hole
hole_geometry_m3_close_fit_diameter,m3_close_fit_hole
boss_geometry_m3_outer_diameter,m3_boss_od
hole_geometry_m4_screw_clearance_diameter,m4_thru_hole
hole_geometry_m4_close_fit_diameter,m4_close_fit_hole
boss_geometry_m4_outer_diameter,m4_boss_od
hole_geometry_m5_screw_clearance_diameter,m5_thru_hole
hole_geometry_m5_close_fit_diameter,m5_close_fit_hole
boss_geometry_m5_outer_diameter,m5_boss_od
hole_geometry_m6_screw_clearance_diameter,m6_thru_hole
hole_geometry_m6_close_fit_diameter,m6_close_fit_hole
boss_geometry_m6_outer_diameter,m6_boss_od
heatset_insert_m2_recommended_hole_id,m2_heatset_hole
heatset_insert_m2_recess_depth,m2_heatset_depth
heatset_insert_m3_recommended_hole_id,m3_heatset_hole
heatset_insert_m3_recess_depth,m3_heatset_depth
heatset_insert_m3_boss_outer_diameter,m3_heatset_boss_od
heatset_insert_m4_recommended_hole_id,m4_heatset_hole
heatset_insert_m4_recess_depth,m4_heatset_depth
heatset_insert_m5_recommended_hole_id,m5_heatset_hole
heatset_insert_install_temp_pla_celsius,heatset_temp_pla
heatset_insert_install_temp_petg_celsius,heatset_temp_petg
heatset_insert_install_temp_abs_asa_celsius,heatset_temp_abs_asa
hardware_m2_button_head_iso7380_head_diameter,m2_button_head_dia
hardware_m2_button_head_iso7380_head_height,m2_button_head_height
hardware_m2p5_button_head_iso7380_head_diameter,m2p5_button_head_dia
hardware_m2p5_button_head_iso7380_head_height,m2p5_button_head_height
hardware_m3_button_head_iso7380_head_diameter,m3_button_head_dia
hardware_m3_button_head_iso7380_head_height,m3_button_head_height
hardware_m4_button_head_iso7380_head_diameter,m4_button_head_dia
hardware_m4_button_head_iso7380_head_height,m4_button_head_height
hardware_m5_button_head_iso7380_head_diameter,m5_button_head_dia
hardware_m5_button_head_iso7380_head_height,m5_button_head_height
hardware_m2_socket_cap_din912_head_diameter,m2_socket_head_dia
hardware_m2_socket_cap_din912_head_height,m2_socket_head_height
hardware_m2p5_socket_cap_din912_head_diameter,m2p5_socket_head_dia
hardware_m2p5_socket_cap_din912_head_height,m2p5_socket_head_height
hardware_m3_socket_cap_din912_head_diameter,m3_socket_head_dia
hardware_m3_socket_cap_din912_head_height,m3_socket_head_height
hardware_m4_socket_cap_din912_head_diameter,m4_socket_head_dia
hardware_m4_socket_cap_din912_head_height,m4_socket_head_height
hardware_m5_socket_cap_din912_head_diameter,m5_socket_head_dia
hardware_m5_socket_cap_din912_head_height,m5_socket_head_height
hardware_m3_flat_head_din7991_head_diameter,m3_flat_head_dia
hardware_m3_flat_head_din7991_head_height,m3_flat_head_height
hardware_m4_flat_head_din7991_head_diameter,m4_flat_head_dia
hardware_m5_flat_head_din7991_head_diameter,m5_flat_head_dia
hardware_m2_hex_nut_iso4032_across_flats,m2_hex_nut_af
hardware_m2_hex_nut_iso4032_height,m2_hex_nut_height
hardware_m2p5_hex_nut_iso4032_across_flats,m2p5_hex_nut_af
hardware_m2p5_hex_nut_iso4032_height,m2p5_hex_nut_height
hardware_m3_hex_nut_iso4032_across_flats,m3_hex_nut_af
hardware_m3_hex_nut_iso4032_height,m3_hex_nut_height
hardware_m4_hex_nut_iso4032_across_flats,m4_hex_nut_af
hardware_m4_hex_nut_iso4032_height,m4_hex_nut_height
